Date,Draw,Winning_Numbers
2025-04-15,MIDDAY,'279
2025-04-14,NIGHT,'464
2025-04-14,EVENING,'104
2025-04-14,MIDDAY,'148
2025-04-13,NIGHT,'506
2025-04-13,EVENING,'126
2025-04-13,MIDDAY,'666
2025-04-12,NIGHT,'399
2025-04-12,EVENING,'661
2025-04-12,MIDDAY,'212
2025-04-11,NIGHT,'451
2025-04-11,EVENING,'952
2025-04-11,MIDDAY,'308
2025-04-10,NIGHT,'391
2025-04-10,EVENING,'355
2025-04-10,MIDDAY,'409
2025-04-09,NIGHT,'940
2025-04-09,EVENING,'103
2025-04-09,MIDDAY,'095
2025-04-08,NIGHT,'753
2025-04-08,EVENING,'524
2025-04-08,MIDDAY,'675
2025-04-07,NIGHT,'709
2025-04-07,EVENING,'481
2025-04-07,MIDDAY,'174
2025-04-06,NIGHT,'989
2025-04-06,EVENING,'077
2025-04-06,MIDDAY,'166
2025-04-05,NIGHT,'783
2025-04-05,EVENING,'602
2025-04-05,MIDDAY,'810
2025-04-04,NIGHT,'734
2025-04-04,EVENING,'261
2025-04-04,MIDDAY,'532
2025-04-03,NIGHT,'640
2025-04-03,EVENING,'706
2025-04-03,MIDDAY,'634
2025-04-02,NIGHT,'337
2025-04-02,EVENING,'350
2025-04-02,MIDDAY,'286
2025-04-01,NIGHT,'947
2025-04-01,EVENING,'881
2025-04-01,MIDDAY,'869
2025-05-30,NIGHT,'667
2025-05-30,EVENING,'329
2025-05-30,MIDDAY,'368
2025-05-29,NIGHT,'991
2025-05-29,EVENING,'640
2025-05-29,MIDDAY,'850
2025-05-28,NIGHT,'180
2025-05-28,EVENING,'811
2025-05-28,MIDDAY,'347
2025-05-27,NIGHT,'160
2025-05-27,EVENING,'007
2025-05-27,MIDDAY,'240
2025-05-26,NIGHT,'957
2025-05-26,EVENING,'798
2025-05-26,MIDDAY,'903
2025-05-25,NIGHT,'371
2025-05-25,EVENING,'248
2025-05-25,MIDDAY,'973
2025-05-24,NIGHT,'256
2025-05-24,EVENING,'861
2025-05-24,MIDDAY,'495
2025-05-23,NIGHT,'562
2025-05-23,EVENING,'020
2025-05-23,MIDDAY,'655
2025-05-22,NIGHT,'959
2025-05-22,EVENING,'599
2025-05-22,MIDDAY,'201
2025-05-21,NIGHT,'172
2025-05-21,EVENING,'261
2025-05-21,MIDDAY,'714
2025-05-20,NIGHT,'708
2025-05-20,EVENING,'715
2025-05-20,MIDDAY,'604
2025-05-19,NIGHT,'773
2025-05-19,EVENING,'380
2025-05-19,MIDDAY,'611
2025-05-18,NIGHT,'276
2025-05-18,EVENING,'277
2025-05-18,MIDDAY,'221
2025-05-17,NIGHT,'700
2025-05-17,EVENING,'243
2025-05-17,MIDDAY,'439
2025-05-16,NIGHT,'724
2025-05-16,EVENING,'178
2025-05-16,MIDDAY,'557
2025-05-15,NIGHT,'647
2025-05-15,EVENING,'860
2025-05-15,MIDDAY,'316
2025-05-14,NIGHT,'897
2025-05-14,EVENING,'987
2025-05-14,MIDDAY,'330
2025-05-13,NIGHT,'745
2025-05-13,EVENING,'764
2025-05-13,MIDDAY,'548
2025-05-12,NIGHT,'125
2025-05-12,EVENING,'742
2025-05-12,MIDDAY,'734
2025-05-11,NIGHT,'616
2025-05-11,EVENING,'621
2025-05-11,MIDDAY,'395
2025-05-10,NIGHT,'337
2025-05-10,EVENING,'130
2025-05-10,MIDDAY,'924
2025-05-09,NIGHT,'792
2025-05-09,EVENING,'635
2025-05-09,MIDDAY,'656
2025-05-08,NIGHT,'604
2025-05-08,EVENING,'406
2025-05-08,MIDDAY,'017
2025-05-07,NIGHT,'314
2025-05-07,EVENING,'015
2025-05-07,MIDDAY,'779
2025-05-06,NIGHT,'657
2025-05-06,EVENING,'281
2025-05-06,MIDDAY,'348
2025-05-05,NIGHT,'788
2025-05-05,EVENING,'291
2025-05-05,MIDDAY,'862
